"","Species","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"78","BBWA","mixedwood",0.75,-0.468710992960033,0.110146473913359,-0.477887012031071,-0.564180568925361,-0.345912403259744,0.218268165665617,-0.891582817423786,-0.640452468390247,-0.018510154761319,-0.303704272347885
"79","BBWA","mixedwood",0.85,-0.58241992038275,0.169945651543671,-0.627220717757967,-0.726494438940887,-0.399505879118308,0.326988559822578,-1.21697727867475,-0.905804739092935,0.0909769606155592,-0.334029352960607
"80","BBWA","mixedwood",0.95,-0.781233435131704,0.348507835390278,-0.816760354905461,-1.00394714304429,-0.43380784208009,0.570139300964204,-1.8591560944906,-1.54339888055132,0.421401109366215,-0.32619985179125
"81","BBWO","conifer",0.05,-0.0856858310824677,0.00748657371344018,-0.0853755458964494,-0.0930200623605033,-0.0798466281635543,0.013173434196949,-0.112780213655927,-0.0985796787356134,-0.0600864768681308,-0.0702845504263012
"82","BBWO","conifer",0.15,-0.140637302282829,0.0217846236524107,-0.1472272001202,-0.160603289388883,-0.120002048396016,0.0406012409928666,-0.221505150878183,-0.166142219416437,-0.0591001869067165,-0.0965071666946852
"83","BBWO","conifer",0.25,-0.157530198937666,0.0474104445851456,-0.173202940059171,-0.194276163405329,-0.13539741070921,0.058878752696119,-0.282594292449508,-0.215397250319312,-0.0470792816650319,-0.044905488789767
"84","BBWO","conifer",0.35,-0.15886963486447,0.0778454059038294,-0.159961127583284,-0.220583214085923,-0.131969129012413,0.0886140850735092,-0.353504341696186,-0.252557319013599,0.000951998597850306,0.0251564354494404
"85","BBWO","conifer",0.45,-0.155505513748115,0.103420001921946,-0.147876664633238,-0.243061051633806,-0.114822067894081,0.128238983739724,-0.435419527243392,-0.286289656972462,0.0775364077155053,0.0744315285086632
"86","BBWO","conifer",0.55,-0.127171104025164,0.117991081880435,-0.119184340327786,-0.228054392333344,-0.0636464469980458,0.164407945335298,-0.474666310336292,-0.307887011369464,0.182965471004902,0.109340788752125
"87","BBWO","conifer",0.65,-0.0878830814362389,0.131730840308777,-0.0756241270717687,-0.168981679405933,-0.00505189442334081,0.163929784982593,-0.414876356879822,-0.319674503075531,0.240842783050548,0.14346157108298
